index,x_pos,y_pos,z_pos
0,75.0,325.0,53.0
1,75.0,326.0,53.0
2,75.0,327.0,53.0
3,75.0,328.0,53.0
4,75.0,329.0,53.0
5,75.0,330.0,53.0
6,75.0,331.0,53.0
7,75.0,332.0,53.0
8,75.0,333.0,53.0
9,75.0,334.0,53.0
10,75.0,335.0,53.0
11,75.0,336.0,53.0
12,75.0,337.0,53.0
13,75.0,338.0,53.0
14,75.0,339.0,53.0
15,75.0,340.0,53.0
16,75.0,341.0,53.0
17,75.0,342.0,53.0
18,75.0,343.0,53.0
19,75.0,344.0,53.0
20,75.0,345.0,53.0
21,75.0,344.0,53.0
22,75.0,343.0,53.0
23,75.0,342.0,53.0
24,75.0,341.0,53.0
25,75.0,340.0,53.0
26,75.0,339.0,53.0
27,75.0,338.0,53.0
28,75.0,337.0,53.0
29,75.0,336.0,53.0
30,75.0,335.0,53.0
31,75.0,334.0,53.0
32,75.0,333.0,53.0
33,75.0,332.0,53.0
34,75.0,331.0,53.0
35,75.0,330.0,53.0
36,75.0,329.0,53.0
37,75.0,328.0,53.0
38,75.0,327.0,53.0
39,75.0,326.0,53.0
40,75.0,325.0,53.0
41,75.0,326.0,53.0
42,75.0,327.0,53.0
43,75.0,328.0,53.0
44,75.0,329.0,53.0
45,75.0,330.0,53.0
46,75.0,331.0,53.0
47,75.0,332.0,53.0
48,75.0,333.0,53.0
49,75.0,334.0,53.0
50,75.0,335.0,53.0
51,75.0,334.0,53.0
52,75.0,333.0,53.0
53,75.0,332.0,53.0
54,75.0,331.0,53.0
55,75.0,330.0,53.0
56,75.0,329.0,53.0
57,75.0,328.0,53.0
58,75.0,327.0,53.0
59,75.0,326.0,53.0
60,75.0,325.0,53.0
61,75.0,324.0,53.0
62,75.0,323.0,53.0
63,75.0,322.0,53.0
64,75.0,321.0,53.0
65,75.0,320.0,53.0
66,75.0,319.0,53.0
67,75.0,318.0,53.0
68,75.0,317.0,53.0
69,75.0,316.0,53.0
70,75.0,315.0,53.0
71,75.0,314.0,53.0
72,75.0,313.0,53.0
73,75.0,312.0,53.0
74,75.0,311.0,53.0
75,75.0,310.0,53.0
76,75.0,309.0,53.0
77,75.0,308.0,53.0
78,75.0,307.0,53.0
79,75.0,306.0,53.0
80,75.0,305.0,53.0
81,75.0,304.0,53.0
82,75.0,303.0,53.0
83,75.0,302.0,53.0
84,75.0,301.0,53.0
85,75.0,300.0,53.0
86,75.0,299.0,53.0
87,75.0,298.0,53.0
88,75.0,297.0,53.0
89,75.0,296.0,53.0
90,75.0,295.0,53.0
91,75.0,294.0,53.0
92,75.0,293.0,53.0
93,75.0,292.0,53.0
94,75.0,291.0,53.0
95,75.0,290.0,53.0
96,75.0,289.0,53.0
97,75.0,288.0,53.0
98,75.0,287.0,53.0
99,75.0,286.0,53.0
100,75.0,285.0,53.0
101,75.0,284.0,53.0
102,75.0,283.0,53.0
103,75.0,282.0,53.0
104,75.0,281.0,53.0
105,75.0,280.0,53.0
106,75.0,279.0,53.0
107,75.0,278.0,53.0
108,75.0,277.0,53.0
109,75.0,276.0,53.0
110,75.0,275.0,53.0
111,75.0,274.0,53.0
112,75.0,273.0,53.0
113,75.0,272.0,53.0
114,75.0,271.0,53.0
115,75.0,270.0,53.0
116,75.0,269.0,53.0
117,75.0,268.0,53.0
118,75.0,267.0,53.0
119,75.0,266.0,53.0
120,75.0,265.0,53.0
121,75.0,266.0,53.0
122,75.0,267.0,53.0
123,75.0,268.0,53.0
124,75.0,269.0,53.0
125,75.0,270.0,53.0
126,75.0,271.0,53.0
127,75.0,272.0,53.0
128,75.0,273.0,53.0
129,75.0,274.0,53.0
130,75.0,275.0,53.0
131,75.0,274.0,53.0
132,75.0,273.0,53.0
133,75.0,272.0,53.0
134,75.0,271.0,53.0
135,75.0,270.0,53.0
136,75.0,269.0,53.0
137,75.0,268.0,53.0
138,75.0,267.0,53.0
139,75.0,266.0,53.0
140,75.0,265.0,53.0
141,75.0,266.0,53.0
142,75.0,267.0,53.0
143,75.0,268.0,53.0
144,75.0,269.0,53.0
145,75.0,270.0,53.0
146,75.0,271.0,53.0
147,75.0,272.0,53.0
148,75.0,273.0,53.0
149,75.0,274.0,53.0
150,75.0,275.0,53.0
151,75.0,276.0,53.0
152,75.0,277.0,53.0
153,75.0,278.0,53.0
154,75.0,279.0,53.0
155,75.0,280.0,53.0
156,75.0,281.0,53.0
157,75.0,282.0,53.0
158,75.0,283.0,53.0
159,75.0,284.0,53.0
160,75.0,285.0,53.0
161,76.0,285.0,53.0
162,77.0,285.0,53.0
163,78.0,285.0,53.0
164,79.0,285.0,53.0
165,80.0,285.0,53.0
166,81.0,285.0,53.0
167,82.0,285.0,53.0
168,83.0,285.0,53.0
169,84.0,285.0,53.0
170,85.0,285.0,53.0
171,84.0,285.0,53.0
172,83.0,285.0,53.0
173,82.0,285.0,53.0
174,81.0,285.0,53.0
175,80.0,285.0,53.0
176,79.0,285.0,53.0
177,78.0,285.0,53.0
178,77.0,285.0,53.0
179,76.0,285.0,53.0
180,75.0,285.0,53.0
181,75.0,284.0,53.0
182,75.0,283.0,53.0
183,75.0,282.0,53.0
184,75.0,281.0,53.0
185,75.0,280.0,53.0
186,75.0,279.0,53.0
187,75.0,278.0,53.0
188,75.0,277.0,53.0
189,75.0,276.0,53.0
190,75.0,275.0,53.0
191,75.0,276.0,53.0
192,75.0,277.0,53.0
193,75.0,278.0,53.0
194,75.0,279.0,53.0
195,75.0,280.0,53.0
196,75.0,281.0,53.0
197,75.0,282.0,53.0
198,75.0,283.0,53.0
199,75.0,284.0,53.0
200,75.0,285.0,53.0
201,75.0,284.0,53.0
202,75.0,283.0,53.0
203,75.0,282.0,53.0
204,75.0,281.0,53.0
205,75.0,280.0,53.0
206,75.0,279.0,53.0
207,75.0,278.0,53.0
208,75.0,277.0,53.0
209,75.0,276.0,53.0
210,75.0,275.0,53.0
211,75.0,274.0,53.0
212,75.0,273.0,53.0
213,75.0,272.0,53.0
214,75.0,271.0,53.0
215,75.0,270.0,53.0
216,75.0,269.0,53.0
217,75.0,268.0,53.0
218,75.0,267.0,53.0
219,75.0,266.0,53.0
220,75.0,265.0,53.0
221,75.0,264.0,53.0
222,75.0,263.0,53.0
223,75.0,262.0,53.0
224,75.0,261.0,53.0
225,75.0,260.0,53.0
226,75.0,259.0,53.0
227,75.0,258.0,53.0
228,75.0,257.0,53.0
229,75.0,256.0,53.0
230,75.0,255.0,53.0
231,75.0,254.0,53.0
232,75.0,253.0,53.0
233,75.0,252.0,53.0
234,75.0,251.0,53.0
235,75.0,250.0,53.0
236,75.0,249.0,53.0
237,75.0,248.0,53.0
238,75.0,247.0,53.0
239,75.0,246.0,53.0
240,75.0,245.0,53.0
241,75.0,244.0,53.0
242,75.0,243.0,53.0
243,75.0,242.0,53.0
244,75.0,241.0,53.0
